age,S,S_new,Sgrad,H,H_new,Hgrad,dH,population,C,Cdot,L,SL,W,dW,Y,A,Sav,discount,Wgrad,Wacc,Z,zc,uc,ul,V,v,WTP,WTP_H,WTP_S,WTP_W,q
71.0,0.756915151833092,0.756915151833092,0.0,0.7106285800000001,0.7106285800000001,0.0,-0.00998539891678967,0.0,43968.85140217637,-0.01612761470480957,2398.9535628973395,0.5649949406684494,23.80529294506721,-0.019989411787896552,38113.37945388496,28343.402086033468,-5855.471948291408,0.24512511188411185,0.0,0.0,6146.100210581675,0.06080633451865429,1.2619709821775638e-7,3.00415889189111e-6,5.137788883506522e6,438992.31467541953,0.0,0.0,0.0,0.0,0.0
72.0,0.7404794023687093,0.7404794023687093,0.0,0.7034611,0.7034611,0.0,-0.010086112776381882,1.3799821e7,43247.66318620286,-0.016402252798848677,2433.9067389266274,0.5675634220905094,23.321189055321312,-0.02033597699734304,36523.1570197568,27146.76898583602,-6724.506166446059,0.2403187371412861,0.0,0.0,6152.36184428742,0.06151792041456116,1.2747905658012788e-7,2.972963179099164e-6,4.899153322957436e6,433751.6533080573,0.0,0.0,0.0,0.0,0.0
73.0,0.7231596706000395,0.7231596706000395,0.0,0.69623544,0.69623544,0.0,-0.010271584313617216,0.0,42524.01480023588,-0.01673265866068437,2469.83475944577,0.570171635011423,22.838990220980648,-0.020676425768721203,34947.42896550256,25855.86123811035,-7576.58583473332,0.23560660504047656,0.0,0.0,6158.892484658844,0.06225345135583625,1.2879811286219968e-7,2.94161884014054e-6,4.663795363578987e6,428493.52582004364,0.0,0.0,0.0,0.0,0.0
74.0,0.7043469234289449,0.7043469234289449,0.0,0.6890097799999999,0.6890097799999999,0.0,-0.010378184712918568,0.0,41800.698826580585,-0.01700958804226737,2506.8774984277666,0.5728184508491636,22.359132125822562,-0.021010477718812304,33384.92329269227,24486.657566661666,-8415.775533888314,0.23098686768674173,0.0,0.0,6166.018101696425,0.06301351983856888,1.3014471787181857e-7,2.9099229423738917e-6,4.435393082026242e6,423255.5055399449,0.0,0.0,0.0,0.0,0.0
75.0,0.684174840289237,0.684174840289237,0.0,0.6817841200000001,0.6817841200000001,0.0,-0.01048702095346136,0.0,41078.09176957258,-0.017286961158374352,2545.0420773117776,0.5755026968039946,21.882035656788183,-0.02133787958985135,31837.441143390148,23054.9419308366,-9240.650626182432,0.22645771341837423,0.0,0.0,6173.726085991781,0.06379872971888073,1.3151975654651917e-7,2.8779200023230337e-6,4.213039304866364e6,418038.438906938,0.0,0.0,0.0,0.0,0.0
76.0,0.6627846776676625,0.6627846776676625,0.0,0.67455846,0.67455846,0.0,-0.01059816412268466,0.0,40356.568153224405,-0.017564681933025503,2584.334598529691,0.5782231598408325,21.408105656744677,-0.02165840543708668,30306.714489274247,21576.108894473862,-10049.853663950158,0.22201736609644532,0.0,0.0,6182.002859527927,0.0646096967920276,1.3292415265420497e-7,2.8456543043544786e-6,3.995827125805368e6,412843.09671665024,0.0,0.0,0.0,0.0,0.0
77.0,0.6403236088188331,0.6403236088188331,0.0,0.6673328000000001,0.6673328000000001,0.0,-0.01071168835388991,9.443952e6,39636.49945703598,-0.017842664258628092,2624.7601047246485,0.5809785907220878,20.9377298290367,-0.021971856606555127,28794.401377388036,20064.98657357656,-10842.098079647942,0.21766408440827972,0.0,0.0,6190.833882622355,0.06544704940237561,1.3435887087398434e-7,2.813169738493912e-6,3.782840144801583e6,407670.17213574686,0.0,0.0,0.0,0.0,0.0
78.0,0.6169430246635049,0.6169430246635049,0.0,0.66002612,0.66002612,0.0,-0.010949079679584174,0.0,38915.04495231299,-0.018201771463320453,2666.1027449317667,0.5837677080610935,20.471277795918972,-0.022278061515095485,27306.58125971559,18536.694332402836,-11608.463692597397,0.21339616118458793,0.0,0.0,6199.692560131946,0.06631142908308342,1.3584171539896144e-7,2.7808534922063023e-6,3.573142007436072e6,402469.073149625,0.0,0.0,0.0,0.0,0.0
79.0,0.59138427942448,0.59138427942448,0.0,0.65271944,0.65271944,0.0,-0.01107028915764729,0.0,38195.82285509148,-0.018481851893087885,2708.573081160527,0.5865892023676497,20.009100310983907,-0.022576875246507665,25840.290763363886,17008.010545525434,-12355.532091727593,0.20921192272998818,0.0,0.0,6209.060481119173,0.06720349122429804,1.3735769676712731e-7,2.7484039330991596e-6,3.3738587763020378e6,397291.4923663981,0.0,0.0,0.0,0.0,0.0
80.0,0.5639781149592161,0.5639781149592161,0.0,0.64541276,0.64541276,0.0,-0.011194212324976884,0.0,37479.19058658853,-0.018762058647662422,2752.172032492328,0.5894417400589124,19.551528623858207,-0.022868178979267653,24396.944224377057,15494.690328296125,-13082.24636221147,0.20510972816665507,0.0,0.0,6218.919692842418,0.06812390576866906,1.389079546430043e-7,2.7158628512842957e-6,3.1836359474090165e6,392137.8813010219,0.0,0.0,0.0,0.0,0.0
81.0,0.535070433099149,0.535070433099149,0.0,0.63810608,0.63810608,0.0,-0.011320941346124005,0.0,36765.49868230341,-0.01904235105174616,2796.8992580967615,0.5923239674107877,19.098873993764787,-0.023151879262323136,22977.869471414884,14011.193452107193,-13787.629210888528,0.2010879687908383,0.0,0.0,6229.251285485998,0.06907335793300538,1.4049368171478484e-7,2.683271123990771e-6,3.0011575939256586e6,387008.6118275338,0.0,0.0,0.0,0.0,0.0
82.0,0.5050149425750569,0.5050149425750569,0.0,0.6307994,0.6307994,0.0,-0.011450572606987243,6.088095e6,36055.08999199355,-0.019322699698666526,2842.753111826703,0.5952345144270926,18.651427347049715,-0.023427907156262192,21584.306257363616,12570.464787449444,-14470.783734629931,0.1971450674419983,0.0,0.0,6240.035395221447,0.07005254895494119,1.4211612672787562e-7,2.6506686125090824e-6,2.8251221584114563e6,381903.9769594779,0.0,0.0,0.0,0.0,0.0
83.0,0.4741658826012847,0.4741658826012847,0.0,0.62501374,0.62501374,0.0,-0.009171949117262993,0.0,35406.257688292324,-0.01799558131307683,2894.468734816981,0.598171998605993,18.209459072470736,-0.023696217257543555,20131.12632668698,11170.551938407207,-15275.131361605345,0.19327947788431207,0.0,0.0,6261.501053480365,0.07106219686353513,1.434237067179896e-7,2.611668117503278e-6,2.6542165296499585e6,377788.76666344807,0.0,0.0,0.0,0.0,0.0
84.0,0.44164782535209346,0.44164782535209346,0.0,0.6192280800000001,0.6192280800000001,0.0,-0.009256852497354561,0.0,34760.37296049301,-0.018242106620968444,2947.5723505224096,0.6011350285855457,17.77321894694139,-0.02395678662354433,18705.027039980105,9826.91685397072,-16055.345920512907,0.18948968420030593,0.0,0.0,6283.651478090317,0.07210303727280086,1.4475561737665913e-7,2.5727732814350367e-6,2.492919479735052e6,373699.95229805657,0.0,0.0,0.0,0.0,0.0
85.0,0.40805010654448404,0.40805010654448404,0.0,0.6134424199999999,0.6134424199999999,0.0,-0.009343342440155711,0.0,34117.737790628795,-0.018487579825297216,3002.0730939829596,0.6041222076525332,17.342936183523854,-0.024209613615972753,17306.982646874938,8552.5744976588,-16810.755143753857,0.18577420019637836,0.0,0.0,6306.475459941679,0.07317582419725766,1.461125625341805e-7,2.534020847641431e-6,2.339584414608874e6,369637.6467454063,0.0,0.0,0.0,0.0,0.0
86.0,0.37395033519641635,0.37395033519641635,0.0,0.60765676,0.60765676,0.0,-0.00943146383649164,0.0,33478.64535607967,-0.018731969817901168,3057.979254111228,0.6071321371011484,16.918819592761448,-0.024454716679712246,15937.87905233071,7357.905158494719,-17540.766303748962,0.18213156881997877,0.0,0.0,6329.961211513607,0.0742813308886875,1.4749527337940712e-7,2.495445921091219e-6,2.1925738557053725e6,365601.8876046529,0.0,0.0,0.0,0.0,0.0
87.0,0.33989779542007287,0.33989779542007287,0.0,0.6018711,0.6018711,0.0,-0.009521263286859552,3.817981e6,32843.3795474647,-0.01897525428099825,3115.298246099387,0.6101634194304055,16.501057847931346,-0.024692133073446646,14598.514819280334,6250.582842943262,-18244.864728184366,0.17856036158821448,0.0,0.0,6354.096374965169,0.07542035069339537,1.489045097261318e-7,2.457081928808756e-6,2.050206635208677e6,361592.6398013167,0.0,0.0,0.0,0.0,0.0
88.0,0.30639892346603487,0.30639892346603487,0.0,0.59671094,0.59671094,0.0,-0.008573530113009197,0.0,32234.96973254148,-0.018524580092129463,3176.2787695640664,0.6132146613714116,16.089819844467886,-0.024921917567546407,13253.52619977759,5232.457243568006,-18981.443532763893,0.17505917802766124,0.0,0.0,6383.374155833813,0.07659369792938531,1.5018189716941618e-7,2.4163996693563076e-6,1.9106963275816762e6,358008.8822221743,0.0,0.0,0.0,0.0,0.0
89.0,0.2725790404779425,0.2725790404779425,0.0,0.5915507799999999,0.5915507799999999,0.0,-0.008647671182298216,0.0,31630.472301405935,-0.01875284624589864,3238.813560305171,0.6162844767377916,15.68525514364469,-0.025144141123637,11939.403518495905,4311.273085115419,-19691.068782910028,0.17162664512515807,0.0,0.0,6413.398626609087,0.07780220878298583,1.5148149234178909e-7,2.3760258569210204e-6,1.7802417827917857e6,354452.23672035395,0.0,0.0,0.0,0.0,0.0
90.0,0.23926948049519037,0.23926948049519037,0.0,0.58639062,0.58639062,0.0,-0.008723105732359899,0.0,31030.137532156972,-0.018979633422112327,3302.9141157676177,0.6193714890946024,15.287494490593238,-0.02535888956913885,10656.696614672861,3491.0419846796394,-20373.440917484113,0.16826141678937065,0.0,0.0,6444.160677462696,0.07904674222458215,1.5280389871650218e-7,2.335988759769694e-6,1.656764383401724e6,350922.4886121205,0.0,0.0,0.0,0.0,0.0
91.0,0.20720154437552374,0.20720154437552374,0.0,0.58123046,0.58123046,0.0,-0.008799867910574643,0.0,30434.20564358847,-0.019204938681013903,3368.59122092533,0.6224743342429726,14.896650396860512,-0.025566262278833313,9405.87583938389,2772.284901559189,-21028.32980420458,0.1649621733229124,0.0,0.0,6475.650795554965,0.08032818094323871,1.5414974149638855e-7,2.296314807838121e-6,1.5381018272386657e6,347419.3618486571,0.0,0.0,0.0,0.0,0.0
92.0,0.1769817743198408,0.1769817743198408,0.0,0.5760703,0.5760703,0.0,-0.008877993076962912,2.006743e6,29842.90658408398,-0.019428765988806405,3435.854925434827,0.6255916625194609,14.512817777951236,-0.0257663708742315,8187.334667493072,2152.440903237599,-21655.571916590907,0.16172762090481607,0.0,0.0,6507.859070017256,0.08164743230012016,1.5551966854088884e-7,2.257028610421295e-6,1.4218722327231648e6,343942.52258674265,0.0,0.0,0.0,0.0,0.0
93.0,0.14907704026465407,0.14907704026465407,0.0,0.5679725200000001,0.5679725200000001,0.0,-0.014056930204525286,0.0,29155.0056786484,-0.023050734133331953,3492.561033786773,0.62872214091072,14.136074636642872,-0.025959337950259034,7173.195099931079,1632.853936077474,-21981.81057871732,0.158556491083153,0.0,0.0,6518.093399261622,0.08300542930074338,1.5773411417072734e-7,2.22974121066215e-6,1.3052941660258654e6,338607.05675347924,0.0,0.0,0.0,0.0,0.0
94.0,0.12227009036740652,0.12227009036740652,0.0,0.55987474,0.55987474,0.0,-0.014257344703930488,0.0,28474.199028625637,-0.023351278251382758,3550.1335692835737,0.6318644549854877,13.766482783287268,-0.02614529583747145,6193.078473236577,1209.365928866322,-22281.12055538906,0.155447540277601,0.0,0.0,6528.333381473388,0.0844031315862141,1.6001292860828337e-7,2.202815226789307e-6,1.202199734480215e6,333293.9074616201,0.0,0.0,0.0,0.0,0.0
95.0,0.09757534938541167,0.09757534938541167,0.0,0.55177696,0.55177696,0.0,-0.014463556616253224,0.0,27800.6909704951,-0.023653274933333496,3608.5406195983414,0.6350173106471888,13.404088584804525,-0.026324385406757318,5247.156212256524,873.9849599579175,-22553.534758238577,0.15239954929176566,0.0,0.0,6538.539549174439,0.08584152644371858,1.623589743917032e-7,2.1762740752843984e-6,1.1105880588969525e6,328002.5595952089,0.0,0.0,0.0,0.0,0.0
96.0,0.07570694552281006,0.07570694552281006,0.0,0.54367918,0.54367918,0.0,-0.014675821186879465,0.0,27134.67271976768,-0.023956895583432242,3667.7477044297757,0.6381794357115379,13.048923734615725,-0.02649675492233246,4335.534865546859,616.0930848715143,-22799.137854220822,0.14941132283506436,0.0,0.0,6548.671028784638,0.08732162983665598,1.6477528508126918e-7,2.1501401283750453e-6,1.0288127998140367e6,322732.46391857136,0.0,0.0,0.0,0.0,0.0
97.0,0.05706278834454925,0.05706278834454925,0.0,0.5355814,0.5355814,0.0,-0.014894408868112356,798923.2,26476.32244243763,-0.024262326070011594,3727.7176713675485,0.6413495813144703,12.701006036338352,-0.026662558947634033,3458.2594995490294,423.6930697552598,-23018.062942888602,0.14648168905398468,0.0,0.0,6558.685490206091,0.08884448745490323,1.6726507817566066e-7,2.1244347675776718e-6,955513.9315245361,317483.04092261434,0.0,0.0,0.0,0.0,0.0
98.0,0.04174617729802804,0.04174617729802804,0.0,0.5274836199999999,0.5274836199999999,0.0,-0.015119606468783372,0.0,25825.805365124117,-0.024569767146770873,3788.410586034668,0.6445265231565238,12.360340194666735,-0.02682195730770866,2615.3171382016712,284.5427667355507,-23210.488226922447,0.14360949907253398,0.0,0.0,6568.539091608466,0.09041117578580998,1.698317692222768e-7,2.0991784434494725e-6,889565.9556069088,312253.68461831677,0.0,0.0,0.0,0.0,0.0
99.0,0.029616151700784403,0.029616151700784403,0.0,0.51938584,0.51938584,0.0,-0.015351718409758287,0.0,25183.273920433414,-0.02487943495301002,3849.7836161174832,0.6477090625904276,12.026918607468858,-0.026975114110673333,1806.640222463326,187.06768832272792,-23376.633697970086,0.14079362654169997,0.0,0.0,6578.186419209874,0.09202280320661661,1.7247898725203894e-7,2.0743907411789304e-6,830040.0496930946,307043.7662600072,0.0,0.0,0.0,0.0,0.0
100.0,0.02035472260592079,0.02035472260592079,0.0,0.51128806,0.51128806,0.0,-0.015591068096889094,0.0,24548.86792412199,-0.025191561602189966,3911.7909088689794,0.6508960275591692,11.700722153739148,-0.027122196829962537,1032.1100667579283,120.9944702574212,-23516.757857364064,0.13803296719774508,0.0,0.0,6587.580421833803,0.09368051109908261,1.7521059168558902e-7,2.0500904517053157e-6,776179.5785852256,301852.6379837206,0.0,0.0,0.0,0.0,0.0
101.0,0.013538642084339195,0.013538642084339195,0.0,0.50319028,0.50319028,0.0,-0.01583799942443415,0.0,23922.714780716502,-0.02550639586887934,3974.3834616427166,0.6540862733921802,11.381720972646193,-0.027263375448242227,291.56029186768797,77.69897632935681,-23631.154488848813,0.13532643842916184,0.0,0.0,6596.672340005141,0.09538547498719799,1.780306908766924e-7,2.026295648125941e-6,727391.204015904,296679.6363485275,0.0,0.0,0.0,0.0,0.0
